data,origem,familia_caixa,modelo_caixa_previsao,quantidade_caixas,numero_dia_semana,dia_semana
2026-08-28,AGROINDUSTRIA TREBESCHI,HB,618,35.0,4,sexta-feira
2026-08-29,AGROINDUSTRIA TREBESCHI,HB,618,19.0,5,sábado
2026-08-31,AGROINDUSTRIA TREBESCHI,HB,618,85.0,0,segunda-feira
2026-09-01,AGROINDUSTRIA TREBESCHI,HB,618,166.0,1,terça-feira
2026-09-02,AGROINDUSTRIA TREBESCHI,HB,618,12.0,2,quarta-feira
2026-09-03,AGROINDUSTRIA TREBESCHI,HB,618,12.0,3,quinta-feira
2026-09-04,AGROINDUSTRIA TREBESCHI,HB,618,47.0,4,sexta-feira
2026-09-05,AGROINDUSTRIA TREBESCHI,HB,618,94.0,5,sábado
2026-09-07,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2026-09-08,AGROINDUSTRIA TREBESCHI,HB,618,94.0,1,terça-feira
2026-09-09,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2026-09-10,AGROINDUSTRIA TREBESCHI,HB,618,67.0,3,quinta-feira
2026-09-11,AGROINDUSTRIA TREBESCHI,HB,618,52.0,4,sexta-feira
2026-09-12,AGROINDUSTRIA TREBESCHI,HB,618,130.0,5,sábado
2026-09-14,AGROINDUSTRIA TREBESCHI,HB,618,0.0,0,segunda-feira
2026-09-15,AGROINDUSTRIA TREBESCHI,HB,618,45.0,1,terça-feira
2026-09-16,AGROINDUSTRIA TREBESCHI,HB,618,0.0,2,quarta-feira
2026-09-17,AGROINDUSTRIA TREBESCHI,HB,618,44.0,3,quinta-feira
2026-08-28,AGROINDUSTRIA TREBESCHI,HB,623,0.0,4,sexta-feira
2026-08-29,AGROINDUSTRIA TREBESCHI,HB,623,0.0,5,sábado
2026-08-31,AGROINDUSTRIA TREBESCHI,HB,623,0.0,0,segunda-feira
2026-09-01,AGROINDUSTRIA TREBESCHI,HB,623,0.0,1,terça-feira
2026-09-02,AGROINDUSTRIA TREBESCHI,HB,623,0.0,2,quarta-feira
2026-09-03,AGROINDUSTRIA TREBESCHI,HB,623,0.0,3,quinta-feira
2026-09-04,AGROINDUSTRIA TREBESCHI,HB,623,0.0,4,sexta-feira
2026-09-05,AGROINDUSTRIA TREBESCHI,HB,623,8.0,5,sábado
2026-09-07,AGROINDUSTRIA TREBESCHI,HB,623,0.0,0,segunda-feira
2026-09-08,AGROINDUSTRIA TREBESCHI,HB,623,0.0,1,terça-feira
2026-09-09,AGROINDUSTRIA TREBESCHI,HB,623,0.0,2,quarta-feira
2026-09-10,AGROINDUSTRIA TREBESCHI,HB,623,0.0,3,quinta-feira
2026-09-11,AGROINDUSTRIA TREBESCHI,HB,623,0.0,4,sexta-feira
2026-09-12,AGROINDUSTRIA TREBESCHI,HB,623,0.0,5,sábado
2026-09-14,AGROINDUSTRIA TREBESCHI,HB,623,0.0,0,segunda-feira
2026-09-15,AGROINDUSTRIA TREBESCHI,HB,623,22.0,1,terça-feira
2026-09-16,AGROINDUSTRIA TREBESCHI,HB,623,20.0,2,quarta-feira
